,B_cell,T_cell,activated_stellate,alpha,beta,delta,ductal,endothelial,gamma,immune_other,macrophage,quiescent_stellate,schwann
0,Coro1a,Trbc2,Serpinh1,Gcg,Ins2,Sst,Krt8,Pecam1,Ppy,Ccr7,Ctss,Gm13889,Nes
1,Ighm,Trac,Vim,Ttr,Ins1,Pyy,Clu,Egfl7,Pyy,Tbc1d4,Laptm5,Ednrb,Vim
2,Cd74,Spn,Sparc,Gpx3,Prss53,Rbp4,Krt18,Cdh5,Ace2,Cytip,Pla2g7,Igfbp5,Nkd2
3,Shisa5,Ptprc,Cald1,Gnas,Iapp,Hhex,Cldn4,Flt1,Ugt2b34,Il4i1,Fth1,Rgs5,Gpc1
4,B2m,Celf2,Col1a1,Pcsk1n,G6pc2,Cd24a,Zfp36l1,Sparc,Tmem27,Traf1,Apoe,S1pr3,Col5a2
5,Iglc3,Laptm5,Il11,Aplp1,Ero1lb,Ppy,Flna,Plvap,Gc,Tmem123,Cd74,Vim,Btc
6,Igkc,H2-D1,Col4a1,Tmem27,Scg3,Gpx3,Cd44,Col4a2,Tspan8,Tmsb4x,Npc2,Ptp4a3,Arpc1b
7,Cd79a,Ets1,Ifitm3,Resp18,Chga,Chgb,Anxa3,Col4a1,Gpx3,Fscn1,Ftl1,Col4a1,Gas7
8,Rac2,Srgn,Fstl1,Pcsk2,Prlr,Sez6l,Dsg2,S1pr1,Scg5,Ccl5,Lgals3,Smtn,Metrn
9,Cd52,B2m,Il6,Rbp4,Bace2,Abcc8,Sox4,Eng,Wnt4,Syngr2,Fcer1g,Ndufa4l2,Fam19a5
10,Rps11,Shisa5,Col5a2,Cst3,Igf1r,Arg1,Nfib,Serinc3,Etv1,Ramp3,B2m,Ngf,Msn
11,Ptprc,Cd3d,Igfbp7,Gc,Papss2,Fam159b,Cdh1,Esam,Scgn,Cnn2,C1qa,Mgp,Zeb2
12,H2-Ab1,Il2rb,Sdc1,Pyy,Scg2,Isl1,Anxa2,Tcf4,Arx,Etv3,Tyrobp,Sema6d,Pmepa1
13,H2-Eb1,Lck,Lgals1,Cpe,Atp2a2,Dpp6,S100a6,Cd93,5330417C22Rik,Cd74,Ctsb,Serpinh1,Sh3pxd2b
