,gene,beta,alpha,delta,ductal,endothelial,gamma,macrophage,quiescent_stellate,activated_stellate
0,Ins2,1337.7807606263982,47.41884816753927,62.28440366972477,48.516363636363636,89.0,41.73170731707317,41.47222222222222,53.57446808510638,39.857142857142854
1,Ins1,690.6498881431768,20.827225130890053,28.394495412844037,23.19272727272727,47.115107913669064,21.170731707317074,18.333333333333332,25.74468085106383,15.785714285714286
2,Prss53,4.088366890380313,0.08376963350785341,0.10091743119266056,0.07272727272727272,0.1366906474820144,0.04878048780487805,0.05555555555555555,0.0425531914893617,0.07142857142857142
3,Iapp,277.2986577181208,22.30366492146597,167.42660550458714,4.9381818181818184,18.575539568345324,14.097560975609756,3.5555555555555554,4.76595744680851,2.5714285714285716
4,G6pc2,7.756152125279642,0.23036649214659685,0.0779816513761468,0.11636363636363636,0.20863309352517986,0.0,0.1111111111111111,0.14893617021276595,0.14285714285714285
5,Ero1lb,3.6733780760626398,0.4397905759162304,0.15137614678899083,0.09454545454545454,0.302158273381295,0.12195121951219512,0.19444444444444445,0.23404255319148937,0.07142857142857142
6,Scg3,12.75503355704698,4.424083769633508,4.334862385321101,0.36727272727272725,0.5827338129496403,3.1951219512195124,0.5277777777777778,0.3404255319148936,0.2857142857142857
7,Chga,29.977628635346758,24.30366492146597,9.880733944954128,0.5418181818181819,1.6978417266187051,7.341463414634147,0.4444444444444444,0.48936170212765956,0.07142857142857142
8,Prlr,3.0727069351230427,0.06806282722513089,0.10091743119266056,0.07636363636363637,0.19424460431654678,0.024390243902439025,0.05555555555555555,0.0,0.0
9,Bace2,3.213646532438479,0.39267015706806285,0.26146788990825687,0.23272727272727273,0.5251798561151079,0.5121951219512195,0.027777777777777776,0.1702127659574468,0.21428571428571427
10,Igf1r,7.040268456375839,0.5549738219895288,1.0275229357798166,1.1672727272727272,0.6618705035971223,0.6341463414634146,0.2222222222222222,0.3404255319148936,0.21428571428571427
11,Papss2,2.7393736017897092,0.25654450261780104,0.3256880733944954,0.07636363636363637,0.2805755395683453,0.0,0.1111111111111111,0.06382978723404255,0.07142857142857142
12,Scg2,17.486577181208055,5.984293193717278,17.110091743119266,0.2872727272727273,0.8561151079136691,12.463414634146341,0.25,0.48936170212765956,0.2857142857142857
13,Atp2a2,5.197986577181208,1.094240837696335,1.2660550458715596,1.0072727272727273,0.8920863309352518,1.0,0.75,1.7446808510638299,0.5
14,Syt4,2.3803131991051454,0.43455497382198954,0.44036697247706424,0.05090909090909091,0.05755395683453238,0.5121951219512195,0.0,0.0425531914893617,0.0
15,Nkx6-1,1.6812080536912752,0.19895287958115182,0.0871559633027523,0.025454545454545455,0.12949640287769784,0.5121951219512195,0.05555555555555555,0.0,0.0
16,Acly,4.307606263982103,1.7172774869109948,3.0,0.38545454545454544,0.5539568345323741,0.7317073170731707,0.1111111111111111,0.3829787234042553,0.2857142857142857
17,Gsdma,2.511185682326622,0.6178010471204188,0.3440366972477064,0.04,0.09352517985611511,0.1951219512195122,0.0,0.02127659574468085,0.07142857142857142
18,Spock2,1.628635346756152,0.193717277486911,0.5688073394495413,0.02181818181818182,0.09352517985611511,0.36585365853658536,0.05555555555555555,0.0851063829787234,0.0
