gene_id,ref_gene_name_x,Chromosome,Start,End,C9,I9,C11,I11,C16,I16
LOC102551743,,chr14,70253195,70267462,0,0,0,0,0,0
MSTRG.1,,chr1,53396,56311,0,0,0,0,0,0
MSTRG.10,LOC102556098,chr1,237909,534772,7.184709,4.063987,4.984054,5.724157,1.581657,3.96464
MSTRG.100,,chr1,11837770,11842198,4.516486,2.695654,2.747037,2.954312,3.566752,3.270768
MSTRG.1000,Irf2bp1,chr1,79911516,79914217,17.6007,26.212414,25.423447,26.080704,24.946035,25.941334
MSTRG.10000,Smim20,chr14,60057493,60069884,49.409927,53.625519,57.711937,51.562325,45.616276,46.776001
MSTRG.10001,Rbpj,chr14,59657710,59865427,9.129395,9.821452,6.502999,7.195256,9.929322,9.838973
MSTRG.10002,LOC108352754,chr14,59777743,59780035,0,0,0,0,0,0
MSTRG.10003,LOC108352756,chr14,60348886,60359612,0.135264,0,0,0.229099,0,0
MSTRG.10004,Slc34a2,chr14,60257211,60276516,1.162167,0.209264,0.776413,2.892389,1.823321,3.253088
MSTRG.10005,LOC108352755,chr14,60091367,60124543,0,0,0,0,0,0.024089
MSTRG.10006,Sel1l3,chr14,60122968,60229565,5.433485,6.02555,4.539703,4.658873,6.743782,7.320634
MSTRG.10007,Anapc4,chr14,60471962,60503803,20.628864,22.689569,19.823847,21.929583,19.69516,22.337503
MSTRG.10008,Pi4k2b,chr14,60567968,60594821,14.200539,16.286793,10.599118,12.575506,16.733749,17.971313
MSTRG.10009,Zcchc4,chr14,60511494,60553167,2.113691,2.765849,2.438801,2.567863,1.908981,1.52754
MSTRG.1001,Mypop,chr1,79898492,79909336,8.692184,12.068165,13.201076,12.864755,14.321117,15.202474
MSTRG.10010,Sepsecs,chr14,60657730,60687950,10.850897,12.741441,10.299665,11.166908,10.701758,10.664474
MSTRG.10011,,chr14,60706910,60714096,0,0,0,0,0,0
MSTRG.10012,Lgi2,chr14,60764325,60791809,0,0.104295,0,0.025639,0.188959,0.094236
MSTRG.10013,LOC103693045,chr14,60814611,60815277,0.198499,0.109557,0.066878,0.033827,0.088481,0.250551
MSTRG.10014,Sod3,chr14,60958583,60971143,7.237457,7.056231,7.292742,10.287251,8.62805,11.606437
MSTRG.10015,Ccdc149,chr14,60857905,60953504,17.411772,22.739806,19.182774,20.692057,15.108752,15.972153
MSTRG.10016,LOC100910750,chr14,61650943,61668505,10.000741,10.279258,9.662514,10.56566,11.880514,7.116707
MSTRG.10017,LOC108352757,chr14,61133777,61136625,0.842564,0,0,0.506409,0.676234,0
MSTRG.10018,Dhx15,chr14,61136712,61174880,38.936357,38.694545,37.525353,42.801042,39.197283,44.344294
MSTRG.10019,,chr14,62309299,62310204,0,0,0,0,0,0
MSTRG.1002,Six5,chr1,80000106,80005303,4.155085,6.232333,5.407198,5.816691,4.393008,5.039576
MSTRG.10020,Kctd8,chr14,61912193,62158730,1.842023,2.36939,2.284005,2.642913,0.758772,1.133509
MSTRG.10021,LOC108352758,chr14,63021164,63044032,0,0,0,0,0,0.018533
MSTRG.10022,Yipf7,chr14,62565369,62609529,0,0,0,0,0,0
MSTRG.10023,Guf1,chr14,62609484,62628862,3.922328,4.461287,3.50564,3.268708,3.20543,3.549116
MSTRG.10024,Gnpda2,chr14,62628102,62646158,22.836343,24.273377,22.779425,24.716026,27.416451,26.216961
MSTRG.10025,LOC102554914,chr14,63276707,63284492,0,0,0,0,0,0
MSTRG.10026,,chr14,63253412,63265608,0,0,0,0,0,0
MSTRG.10027,Ppargc1a,chr14,63083060,63190688,1.694617,1.813308,1.703162,2.021725,3.832277,3.475223
MSTRG.10028,LOC102555010,chr14,63405213,63422707,0,0,0,0,0,0.015306
MSTRG.10029,Gba3,chr14,64390793,64535213,0,0.027585,0.020835,0.031037,0,0
MSTRG.1003,LOC102553424,chr1,80004481,80028841,0,0.101692,0,0,0,0
MSTRG.10030,,chr14,65250069,65262641,0.001939,0,0.000887,0,0,0
MSTRG.10031,,chr14,65273976,65299065,0.015223,0.013454,0.010584,0.003783,0.015883,0.02514
MSTRG.10032,,chr14,65301278,65331973,0.001118,0.003164,0,0.004245,0.001222,0
